iter	RMSE
0	174.148117
1	167.9814852
2	161.8359975
3	155.6033707
4	149.9348923
5	145.1145604
6	140.5404002
7	136.1654962
8	132.3520901
9	128.9658758
10	125.8527753
11	122.7307858
12	120.2536267
13	116.342813
14	113.8413164
15	110.7312723
16	108.8585433
17	106.9620929
18	105.0315636
19	103.6360654
20	102.2570325
21	100.7894871
22	98.31217497
23	96.70280229
24	94.26087019
25	91.90619841
26	89.71733412
27	88.80733106
28	87.99139137
29	86.47864951
30	85.83305774
31	84.05370177
32	82.81038029
33	81.17684386
34	80.1268128
35	79.55801768
36	78.82625678
37	77.48671622
38	76.60661319
39	75.97038969
40	75.35784402
41	74.46589503
42	73.91456025
43	72.95277596
44	71.84000064
45	71.45021239
46	70.48460217
47	69.60249191
48	68.89723264
49	68.52557114
50	68.19302971
51	67.90578287
52	67.50361879
53	67.23587277
54	66.90608338
55	66.66515886
56	66.13029851
57	65.91162205
58	65.27128981
59	64.57735524
60	63.87596295
61	63.62831205
62	63.17386295
63	62.7211036
64	62.46597082
65	62.1848614
66	61.70959028
67	61.4620429
68	61.1274873
69	60.96867543
70	60.5474339
71	60.10033591
72	59.76522732
73	59.57985488
74	59.42066176
75	59.29598886
76	59.11389275
77	58.9996341
78	58.82935236
79	58.6496882
80	58.42893849
81	58.23852156
82	58.11909153
83	57.84174353
84	57.71176741
85	57.58482836
86	57.49396795
87	57.077148
88	56.74259239
89	56.46049658
90	56.07756171
91	55.98890489
92	55.88550412
93	55.74726273
94	55.29547329
95	55.13908978
96	54.81603581
97	54.51454398
98	54.40744568
99	54.31532935
100	54.24231666
101	54.05841332
102	53.93899174
103	53.79537278
104	53.66611547
105	53.54441875
106	53.26418989
107	53.16972976
108	52.97384176
109	52.88463801
110	52.79976789
111	52.59326305
112	52.51528541
113	52.37109682
114	52.28827077
115	52.11687218
116	51.97141642
117	51.88228948
118	51.79947535
119	51.74987924
120	51.69356235
121	51.51626336
122	51.43237006
123	51.32700749
124	51.17462681
125	50.94930807
126	50.80384594
127	50.70711977
128	50.61688519
129	50.50681021
130	50.33301389
131	50.24745351
132	50.11530476
133	50.06018888
134	49.98454254
135	49.89637074
136	49.81855528
137	49.69018015
138	49.63274362
139	49.543248
140	49.42999482
141	49.31415241
142	49.27140821
143	49.20297467
144	49.12003353
145	49.07181122
146	49.00377756
147	48.97272461
148	48.92883347
149	48.7837813
150	48.7082285
151	48.68090153
152	48.65851146
153	48.55035153
154	48.46819399
155	48.39907015
156	48.35583733
157	48.32146094
158	48.27336234
159	48.15523976
160	48.08115969
161	48.03440668
162	47.97474632
163	47.9216354
164	47.8290149
165	47.77039245
166	47.68101924
167	47.62265395
168	47.55497944
169	47.47033833
170	47.37041891
171	47.32146402
172	47.24998608
173	47.22617843
174	47.13557895
175	47.04929941
176	47.00634447
177	46.96177045
178	46.90613157
179	46.8298118
180	46.77060375
181	46.67537703
182	46.56474251
183	46.48458701
184	46.44073347
185	46.37318277
186	46.29411982
187	46.23974586
188	46.17450372
189	46.1443768
190	46.06793085
191	46.01441922
192	45.93707655
193	45.89385672
194	45.8611406
195	45.82419909
196	45.77096916
197	45.70679803
198	45.65042529
199	45.62236095
200	45.54655409
201	45.46233336
