iter	Passed	Remaining
0	4	4307
1	6	3353
2	9	3276
3	13	3431
4	16	3331
5	19	3255
6	22	3160
7	25	3123
8	33	3677
9	36	3641
10	39	3523
11	41	3433
12	44	3348
13	46	3278
14	48	3203
15	51	3181
16	54	3131
17	56	3100
18	59	3047
19	61	3006
20	64	3003
21	67	2985
22	69	2966
23	72	2945
24	74	2913
25	77	2908
26	80	2886
27	82	2862
28	84	2840
29	87	2818
30	89	2804
31	91	2781
32	94	2767
33	97	2761
34	99	2740
35	101	2722
36	103	2705
37	105	2681
38	108	2664
39	110	2654
40	112	2635
41	115	2628
42	119	2654
43	121	2642
44	123	2627
45	125	2610
46	128	2596
47	130	2595
48	133	2585
49	135	2576
50	138	2571
51	140	2563
52	143	2563
53	145	2550
54	147	2539
55	150	2531
56	152	2525
57	155	2518
58	157	2511
59	159	2499
60	161	2490
61	163	2480
62	166	2475
63	168	2470
64	171	2460
65	173	2451
66	176	2453
67	178	2442
68	180	2438
69	183	2443
70	186	2439
71	189	2437
72	192	2438
73	194	2430
74	196	2426
75	199	2419
76	201	2414
77	203	2408
78	206	2402
79	208	2398
80	211	2395
81	213	2387
82	216	2387
83	218	2383
84	221	2379
85	225	2392
86	227	2385
87	230	2384
88	232	2378
89	235	2382
90	238	2385
91	241	2381
92	243	2376
93	245	2368
94	248	2367
95	253	2388
96	255	2382
97	258	2378
98	261	2376
99	263	2372
100	266	2372
101	269	2374
102	272	2376
103	277	2390
104	280	2389
105	283	2391
106	286	2392
107	289	2394
108	292	2390
109	296	2399
110	298	2393
111	301	2389
112	303	2386
113	306	2379
114	308	2376
115	311	2376
116	313	2368
117	318	2377
118	320	2374
119	324	2376
120	326	2374
121	329	2373
122	332	2368
123	335	2368
124	337	2365
125	341	2365
126	344	2364
127	346	2359
128	349	2362
129	352	2359
130	355	2359
131	358	2356
132	360	2351
133	365	2360
134	367	2355
135	371	2360
136	373	2354
137	376	2352
138	379	2349
139	381	2345
140	384	2343
141	389	2353
142	392	2352
143	394	2347
144	398	2350
145	401	2346
146	404	2347
147	407	2344
148	410	2346
149	413	2343
150	417	2347
151	420	2344
152	423	2345
153	427	2346
154	434	2368
155	438	2370
156	440	2367
157	444	2368
158	447	2366
159	450	2366
160	453	2362
161	455	2357
162	458	2353
163	460	2348
164	468	2369
165	471	2367
166	474	2364
167	477	2364
168	479	2359
169	483	2360
170	485	2355
171	488	2352
172	491	2348
173	495	2350
174	498	2350
175	500	2345
176	504	2344
177	506	2338
178	508	2333
179	511	2329
180	513	2324
181	518	2332
182	521	2326
183	523	2323
184	526	2320
185	529	2317
186	532	2314
187	534	2310
188	538	2310
189	541	2310
190	544	2306
191	546	2301
192	549	2298
193	552	2295
194	554	2290
195	558	2290
196	560	2285
197	562	2279
198	565	2278
199	567	2271
200	572	2275
201	575	2272
202	577	2268
203	581	2269
204	585	2269
205	587	2264
206	591	2267
207	596	2272
208	599	2270
209	602	2266
210	606	2266
211	608	2262
212	611	2261
213	614	2258
214	618	2259
215	620	2253
216	623	2250
217	627	2249
218	629	2245
219	631	2240
220	635	2239
221	637	2235
222	639	2229
223	641	2223
224	644	2219
225	646	2215
226	649	2210
227	651	2206
228	653	2200
229	656	2197
230	658	2193
231	661	2189
232	664	2186
233	666	2182
234	668	2177
235	672	2175
236	674	2170
237	678	2172
238	682	2174
239	691	2190
240	694	2188
241	699	2190
242	703	2192
243	706	2189
244	709	2186
245	716	2195
246	720	2195
247	722	2192
248	726	2191
249	729	2189
250	732	2186
251	741	2199
252	745	2202
253	749	2199
254	751	2196
255	754	2192
256	757	2189
257	762	2191
258	770	2203
259	773	2200
260	775	2196
261	779	2194
262	781	2190
263	784	2186
264	786	2181
265	788	2175
266	791	2171
267	793	2167
268	796	2164
269	798	2159
270	800	2153
271	802	2148
272	805	2144
273	807	2138
274	809	2133
275	812	2130
276	815	2127
277	819	2128
278	824	2131
279	829	2132
280	852	2181
281	854	2175
282	857	2173
283	861	2171
284	864	2169
285	871	2175
286	875	2174
287	878	2171
288	880	2167
289	884	2164
290	888	2164
291	891	2161
292	894	2158
293	897	2155
294	900	2151
295	902	2147
296	905	2142
297	907	2137
298	909	2132
299	912	2128
300	914	2123
301	916	2118
302	919	2114
303	921	2109
304	924	2106
305	926	2101
306	928	2096
307	931	2092
308	933	2087
309	935	2082
310	938	2078
311	940	2073
312	944	2072
313	946	2067
314	948	2063
315	951	2058
316	952	2053
317	955	2048
318	957	2044
319	959	2038
320	961	2033
321	964	2031
322	966	2026
323	968	2021
324	971	2016
325	973	2012
326	975	2007
327	977	2002
328	979	1998
329	982	1993
330	985	1991
331	987	1986
332	989	1982
333	992	1978
334	995	1975
335	1002	1980
336	1005	1978
337	1008	1974
338	1010	1970
339	1028	1996
340	1031	1992
341	1033	1988
342	1035	1984
343	1039	1981
344	1041	1976
345	1043	1973
346	1047	1971
347	1050	1968
348	1054	1967
349	1058	1964
350	1060	1961
351	1063	1957
352	1067	1956
353	1069	1952
354	1072	1948
355	1075	1945
356	1077	1941
357	1081	1938
358	1083	1934
359	1086	1931
360	1089	1928
361	1091	1924
362	1094	1920
363	1096	1916
364	1099	1912
365	1102	1909
366	1105	1906
367	1109	1904
368	1112	1902
369	1116	1900
370	1119	1898
371	1122	1895
372	1126	1893
373	1129	1890
374	1131	1886
375	1134	1883
376	1136	1878
377	1139	1875
378	1141	1871
379	1144	1867
380	1147	1863
381	1149	1860
382	1154	1860
383	1156	1855
384	1160	1853
385	1162	1848
386	1164	1844
387	1167	1841
388	1171	1840
389	1174	1836
390	1176	1832
391	1178	1828
392	1180	1823
393	1183	1820
394	1185	1816
395	1188	1812
396	1190	1808
397	1193	1805
398	1195	1800
399	1197	1796
400	1200	1792
401	1202	1788
402	1204	1783
403	1206	1780
404	1209	1776
405	1212	1774
406	1216	1772
407	1219	1768
408	1221	1764
409	1225	1763
410	1227	1759
411	1230	1756
412	1233	1752
413	1235	1748
414	1239	1746
415	1244	1747
416	1248	1744
417	1250	1741
418	1255	1741
419	1259	1739
420	1262	1735
421	1266	1734
422	1269	1731
423	1272	1728
424	1274	1724
425	1277	1721
426	1282	1720
427	1287	1721
428	1290	1717
429	1293	1714
430	1295	1710
431	1298	1707
432	1301	1703
433	1303	1699
434	1305	1695
435	1307	1691
436	1310	1687
437	1312	1684
438	1316	1682
439	1318	1678
440	1321	1674
441	1323	1670
442	1325	1666
443	1328	1663
444	1329	1658
445	1332	1655
446	1334	1651
447	1336	1647
448	1339	1643
449	1341	1639
450	1344	1636
451	1347	1634
452	1349	1629
453	1351	1625
454	1354	1621
455	1355	1617
456	1357	1613
457	1359	1609
458	1361	1605
459	1364	1601
460	1366	1597
461	1369	1594
462	1371	1590
463	1373	1587
464	1376	1584
465	1379	1581
466	1381	1576
467	1383	1572
468	1386	1569
469	1388	1565
470	1390	1561
471	1392	1558
472	1395	1554
473	1398	1551
474	1400	1547
475	1402	1544
476	1404	1540
477	1407	1536
478	1408	1532
479	1411	1528
480	1413	1525
481	1415	1521
482	1417	1517
483	1419	1513
484	1421	1509
485	1425	1507
486	1427	1504
487	1430	1500
488	1433	1498
489	1436	1494
490	1438	1491
491	1441	1487
492	1443	1484
493	1446	1481
494	1448	1477
495	1450	1474
496	1452	1470
497	1455	1466
498	1456	1462
499	1459	1459
500	1462	1456
501	1464	1453
502	1467	1449
503	1469	1446
504	1472	1442
505	1474	1439
506	1477	1437
507	1481	1434
508	1483	1430
509	1485	1427
510	1488	1424
511	1491	1421
512	1493	1418
513	1496	1415
514	1499	1412
515	1501	1408
516	1504	1405
517	1509	1404
518	1513	1402
519	1515	1398
520	1518	1396
521	1521	1393
522	1524	1390
523	1526	1387
524	1529	1383
525	1532	1380
526	1537	1380
527	1541	1377
528	1556	1385
529	1562	1385
530	1572	1388
531	1577	1387
532	1580	1385
533	1589	1387
534	1593	1384
535	1598	1383
536	1602	1382
537	1607	1380
538	1611	1378
539	1615	1375
540	1621	1375
541	1625	1373
542	1629	1371
543	1632	1368
544	1635	1365
545	1638	1362
546	1643	1361
547	1647	1358
548	1651	1356
549	1655	1354
550	1659	1352
551	1676	1360
552	1679	1357
553	1683	1355
554	1689	1354
555	1694	1353
556	1698	1350
557	1704	1350
558	1708	1347
559	1712	1345
560	1718	1344
561	1721	1341
562	1725	1338
563	1729	1337
564	1733	1334
565	1737	1332
566	1741	1329
567	1747	1328
568	1750	1325
569	1756	1325
570	1759	1322
571	1763	1319
572	1768	1317
573	1778	1319
574	1781	1316
575	1784	1313
576	1787	1310
577	1790	1307
578	1793	1303
579	1795	1300
580	1798	1296
581	1800	1293
582	1803	1290
583	1806	1286
584	1808	1282
585	1810	1279
586	1813	1275
587	1817	1273
588	1819	1269
589	1835	1275
590	1838	1272
